Name,Quantity,Component
"U1",1," Arduino Uno R3"
"SERVO1",1,"Positional Micro Servo"
"D1",1,"Red LED"
"D2",1,"Yellow LED"
"D3",1,"Green LED"
"R1, R2, R3",3,"0.22 kΩ Resistor"
"R4",1,"1 kΩ Resistor"
"PIEZO1",1," Piezo"
"R5",1,"1 MΩ Resistor"
"S1",1," Pushbutton"
"C3",1,"1 uF, 16 V Polarized Capacitor"
