Name,Quantity,Component
"U1",1," Arduino Uno R3"
"D1",1," LED RGB"
"R2, R3, R4",3," Photoresistor"
"R5, R6, R7",3,"10 kΩ Resistor"
"R9, R10, R11",3,"220 Ω Resistor"
